country,track.id,track name,popularity,danceability,energy,acousticness,liveness,tempo
Austria,5xX2LYdXyx0Boa61rZOjq5,Beautiful Girl,67.0,0.846,0.42,0.296,0.09,139.883
Austria,35DkXhxqTMiQB582tfjowU,Powerade,66.0,0.89,0.72,0.193,0.641,150.09
Austria,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),63.0,0.712,0.463,0.011,0.301,131.199
Austria,7jtQIBanIiJOMS6RyCx6jZ,Another Love,62.0,0.442,0.538,0.717,0.09,122.758
Austria,6zJejIfVYLgjud3lTk4DLB,SNAP,36.0,0.565,0.636,0.107,0.447,170.01
Belgium,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,0.707,0.681,0.0632,0.0322,117.999
Belgium,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",97.0,0.778,0.632,0.274,0.0915,122.104
Belgium,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),95.0,0.715,0.62,0.417,0.0822,97.95
Belgium,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),94.0,0.561,0.965,0.00383,0.371,128.04
Belgium,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,93.0,0.637,0.643,0.13,0.142,97.008
Belgium,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),92.0,0.801,0.806,0.382,0.114,106.999
Belgium,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,91.0,0.704,0.797,0.0826,0.0546,139.994
Belgium,0JXXNGljqupsJaZsgSbMZV,Sure Thing,90.0,0.684,0.607,0.0267,0.191,81.001
Belgium,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,89.0,0.78,0.689,0.0368,0.0698,115.042
Belgium,6BePGk3eCan4FqaW2X8Qy3,10:35,87.0,0.696,0.793,0.0683,0.18,120.003
Belgium,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),86.0,0.637,0.715,0.148,0.0892,141.872
Belgium,3LtpKP5abr2qqjunvjlX5i,Doja,85.0,0.911,0.573,0.38,0.403,140.04
Belgium,02MWAaffLxlfxAUY7c5dvx,Heat Waves,84.0,0.761,0.525,0.44,0.0921,80.87
Belgium,26b3oVLrRUaaybJulow9kz,People,83.0,0.573,0.422,0.551,0.102,124.357
Belgium,7yq4Qj7cqayVTp3FF9CWbm,Riptide,81.0,0.484,0.731,0.431,0.151,101.654
Belgium,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),80.0,0.633,0.927,0.0267,0.0986,146.097
Belgium,3BnDvpeuGOj21Ir2aVEtQo,Calm Down,78.0,0.814,0.789,0.365,0.137,107.003
