country,track.id,track name,popularity,date
Austria,2mVrSw1sSk3v8GanOZj9wF,Ich Liebe Dich,64.0,2023-02-28
Austria,7AuMPJMHY3TYeZEZsEy0CF,mailbox (feat. Hava),60.0,2023-02-28
Austria,4zLCLlqLivpZXvYfQCqTWh,Ich glaub ich will heut nicht mehr gehen,58.0,2023-02-28
Austria,7AyE8MRf4dIK75mqqpks9S,Mangos mit Chili,50.0,2023-02-28
Austria,6LBmaJYwbLHfQwIreMCLlw,Wildberry Lillet,47.0,2023-02-28
Austria,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,39.0,2023-02-28
Austria,6zJejIfVYLgjud3lTk4DLB,SNAP,25.0,2023-02-28
Belgium,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
Belgium,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28
Belgium,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),94.0,2023-02-28
Belgium,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),92.0,2023-02-28
Belgium,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,91.0,2023-02-28
Belgium,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,89.0,2023-02-28
Belgium,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,88.0,2023-02-28
Belgium,26b3oVLrRUaaybJulow9kz,People,86.0,2023-02-28
Belgium,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),85.0,2023-02-28
Belgium,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,84.0,2023-02-28
Belgium,3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),83.0,2023-02-28
Belgium,7oDd86yk8itslrA9HRP2ki,Die For You - Remix,82.0,2023-02-28
Belgium,1yHVHoz6Ny29gbbWJYVnFt,Heaven,80.0,2023-02-28
Belgium,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),78.0,2023-02-28
Belgium,6sCvvleqKbeyOkQDieBYgp,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,76.0,2023-02-28
Belgium,0pfP5XgWsu3uDB6NygGBEq,Push Up - Original Mix,75.0,2023-02-28
Belgium,13Irp51zj01BZu2XtDrnAg,2 Be Loved (Am I Ready),74.0,2023-02-28
