country,track.id,track name,popularity,date,danceability,energy,acousticness,liveness,tempo
Singapore,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Slovakia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
South Africa,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
South Korea,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Spain,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Suriname,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Sweden,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Switzerland,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Taiwan,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Thailand,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
UAE,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
USA,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Ukraine,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
United Kingdom,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Uruguay,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Vietnam,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Argentina,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Belgium,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Bolivia,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Chile,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Colombia,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Costa Rica,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Ecuador,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
France,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Global,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Guatemala,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Italy,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Luxembourg,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Mexico,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Nicaragua,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Panama,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Peru,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Portugal,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
